Date,Open,High,Low,Close,Adj Close,Volume
3/27/2020,6.21,6.63,6.11,6.29,6.29,6326200
3/30/2020,6.23,6.47,5.94,6.34,6.34,4538700
3/31/2020,5.92,6.11,5.56,5.67,5.67,6843100
4/1/2020,5.37,5.79,5.18,5.24,5.24,3903700
4/2/2020,5.2,5.557,5.143,5.42,5.42,4698200
4/3/2020,5.41,5.75,5.41,5.52,5.52,4506200
4/6/2020,5.66,5.885,5.57,5.77,5.77,4308900
4/7/2020,5.94,6.05,5.6,5.62,5.62,5334800
4/8/2020,5.71,6.19,5.57,6.07,6.07,8135400
4/9/2020,6.23,6.23,5.675,5.79,5.79,6176100
4/13/2020,5.77,5.84,5.545,5.79,5.79,3816700
4/14/2020,5.81,6.08,5.75,6.01,6.01,4404900
4/15/2020,5.92,6.19,5.8,5.88,5.88,4359400
4/16/2020,5.89,5.99,5.687,5.8,5.8,2948100
4/17/2020,5.86,6.18,5.86,5.985,5.985,4435000
4/20/2020,5.99,6.485,5.91,6.07,6.07,4740800
4/21/2020,6,6.15,5.8,5.94,5.94,3530800
4/22/2020,6.03,6.121,5.83,5.9,5.9,2409400
4/23/2020,5.89,6.1,5.82,5.99,5.99,3775200
4/24/2020,6.01,6.23,5.82,6.2,6.2,4819800
4/27/2020,6.26,6.72,6.24,6.44,6.44,6347000
4/28/2020,6.62,6.62,6.18,6.27,6.27,4027300
4/29/2020,6.31,6.38,6.16,6.23,6.23,4510500
4/30/2020,6.21,6.285,5.92,5.94,5.94,4417600
5/1/2020,5.9,5.92,5.49,5.64,5.64,5980700
5/4/2020,5.62,5.865,5.51,5.84,5.84,4094900
5/5/2020,5.87,5.98,5.71,5.74,5.74,4061200
5/6/2020,5.78,5.83,5.49,5.57,5.57,5575100
5/7/2020,5.6,5.7,5.49,5.59,5.59,4284300
5/8/2020,5.66,5.7,5.33,5.42,5.42,8450600
5/11/2020,5.41,5.42,5.17,5.27,5.27,4602300
5/12/2020,5.26,5.46,5.18,5.18,5.18,4827700
5/13/2020,5.19,5.213,4.83,4.84,4.84,7068100
5/14/2020,4.76,4.99,4.62,4.94,4.94,5565500
5/15/2020,5.09,5.548,4.944,5.53,5.53,10430300
5/18/2020,5.7,6.19,5.57,5.58,5.58,14906900
5/19/2020,5.64,5.76,5.36,5.6,5.6,7085300
5/20/2020,5.65,5.757,5.48,5.54,5.54,4729100
5/21/2020,5.61,6.29,5.6,6.2,6.2,14199500
5/22/2020,6.27,6.865,5.94,6.7,6.7,17846000
5/26/2020,6.89,6.97,6.39,6.66,6.66,11624600
5/27/2020,6.71,6.92,6.3,6.72,6.72,7735700
5/28/2020,6.77,7.17,6.65,6.74,6.74,9173600
5/29/2020,6.31,6.58,6.2,6.53,6.53,7224000
6/1/2020,6.43,6.68,6.38,6.62,6.62,4955200
6/2/2020,6.63,6.68,6.4,6.43,6.43,3931100
6/3/2020,6.5,6.57,6.39,6.46,6.46,3437600
6/4/2020,6.44,6.91,6.32,6.69,6.69,7561400
6/5/2020,6.85,6.87,6.54,6.6,6.6,5027500
6/8/2020,6.69,8.045,6.65,8.02,8.02,16272900
6/9/2020,7.81,8.13,7.42,7.51,7.51,11436700
6/10/2020,7.54,7.95,7.45,7.59,7.59,7152300
6/11/2020,7.23,7.28,6.42,6.42,6.42,11890100
6/12/2020,6.7,6.73,6.35,6.47,6.47,5458000
6/15/2020,6.32,6.6,6.24,6.51,6.51,4141000
6/16/2020,6.77,6.92,6.58,6.72,6.72,5118200
6/17/2020,6.73,6.75,6.41,6.58,6.58,3604500
6/18/2020,6.56,6.77,6.48,6.56,6.56,4322600
6/19/2020,6.6,6.62,6.2,6.42,6.42,6494600
6/22/2020,6.42,6.519,6.34,6.45,6.45,2879000
6/23/2020,6.47,6.89,6.37,6.53,6.53,7214800
6/24/2020,6.56,6.75,6.265,6.38,6.38,4805600
6/25/2020,6.34,6.42,6.11,6.31,6.31,3786400
6/26/2020,6.25,6.33,6,6,6,3429200
6/29/2020,5.99,6.155,5.82,6.1,6.1,2831600
6/30/2020,6.03,6.15,5.855,6.01,6.01,3257500
7/1/2020,6.02,6.21,6.017,6.11,6.11,2131100
7/2/2020,6.13,6.24,6.08,6.17,6.17,2169400
7/6/2020,6.19,6.59,6.15,6.45,6.45,4066700
7/7/2020,6.36,6.48,6.24,6.27,6.27,2585900
7/8/2020,6.28,6.33,6.11,6.19,6.19,2085300
7/9/2020,6.17,6.2,5.85,6.02,6.02,3088000
7/10/2020,6.01,6.4,6.01,6.32,6.32,3646700
7/13/2020,6.32,6.695,6.22,6.27,6.27,5619400
7/14/2020,6.25,6.42,6.16,6.4,6.4,2504900
7/15/2020,6.47,7.04,6.457,7.02,7.02,7848800
7/16/2020,6.91,7,6.61,6.9,6.9,5363400
7/17/2020,6.91,7.19,6.74,6.75,6.75,4984700
7/20/2020,6.83,6.865,6.56,6.63,6.63,3140400
7/21/2020,6.64,6.84,6.62,6.71,6.71,3138100
7/22/2020,6.72,6.81,6.53,6.65,6.65,1994600
7/23/2020,6.61,6.64,6.35,6.38,6.38,2511900
7/24/2020,6.335,6.398,6.2,6.31,6.31,2229100
7/27/2020,6.3,6.605,6.29,6.58,6.58,3628200
7/28/2020,6.55,7.2,6.5,7.08,7.08,6644300
7/29/2020,7.04,7.08,6.69,6.75,6.75,4489700
7/30/2020,6.7,6.79,6.48,6.65,6.65,3685100
7/31/2020,6.65,6.92,6.535,6.55,6.55,3548300
8/3/2020,6.58,6.89,6.58,6.79,6.79,3375100
8/4/2020,6.79,7.13,6.65,7.08,7.08,4284800
8/5/2020,7.11,7.137,6.77,6.98,6.98,4463700
8/6/2020,6.63,6.66,5.81,5.87,5.87,15002400
8/7/2020,5.92,5.93,5.6,5.64,5.64,5987900
8/10/2020,5.74,5.87,5.63,5.8,5.8,5305300
8/11/2020,5.8,5.82,5.55,5.55,5.55,4379700
8/12/2020,5.72,5.8,5.62,5.79,5.79,3916200
8/13/2020,5.71,5.88,5.67,5.74,5.74,3081800
8/14/2020,5.75,5.75,5.61,5.63,5.63,4432600
8/17/2020,5.68,5.72,5.52,5.6,5.6,2695100
8/18/2020,5.62,5.66,5.375,5.51,5.51,3251700
8/19/2020,5.5,5.61,5.42,5.44,5.44,2283900
8/20/2020,5.41,5.479,5.35,5.41,5.41,1810600
8/21/2020,5.39,5.42,5.26,5.31,5.31,2083700
8/24/2020,5.33,5.5,5.22,5.49,5.49,2909300
8/25/2020,5.49,5.54,5.39,5.47,5.47,1754800
8/26/2020,5.45,5.5,5.35,5.36,5.36,1896600
8/27/2020,5.36,5.46,5.32,5.42,5.42,1855100
8/28/2020,5.4,5.7,5.4,5.67,5.67,4064100
8/31/2020,5.655,5.69,5.46,5.57,5.57,2795500
9/1/2020,5.529,5.55,5.42,5.45,5.45,2191600
9/2/2020,5.49,5.55,5.4,5.46,5.46,2051700
9/3/2020,5.42,5.58,5.265,5.39,5.39,2816000
9/4/2020,5.383,5.46,5.15,5.39,5.39,3165600
9/8/2020,5.33,5.37,5.22,5.24,5.24,1774600
9/9/2020,5.28,5.36,5.16,5.28,5.28,2142000
9/10/2020,5.3,5.42,5.26,5.29,5.29,2132400
9/11/2020,5.33,5.34,5.07,5.21,5.21,2606400
9/14/2020,5.2,5.42,5.18,5.41,5.41,2161200
9/15/2020,5.42,5.55,5.34,5.39,5.39,2128400
9/16/2020,5.39,5.59,5.365,5.4,5.4,3136400
9/17/2020,5.36,5.37,5.19,5.24,5.24,2131200
9/18/2020,5.27,5.34,5.2,5.29,5.29,2182800
9/21/2020,5.21,5.232,5.05,5.12,5.12,2854900
9/22/2020,5.14,5.41,5.05,5.31,5.31,3848300
9/23/2020,5.27,5.278,5,5.05,5.05,4044600
9/24/2020,5,5.29,4.96,5.13,5.13,2874200
9/25/2020,5.11,5.155,4.975,5.08,5.08,2242900
9/28/2020,5.13,5.18,4.96,4.96,4.96,2440200
9/29/2020,4.96,5.15,4.92,5.05,5.05,2808000
9/30/2020,5.06,5.16,5,5.01,5.01,1614500
10/1/2020,5.04,5.1,4.97,5,5,1656900
10/2/2020,4.94,5.07,4.915,5.03,5.03,2404500
10/5/2020,5.02,5.25,5.02,5.24,5.24,2941000
10/6/2020,5.2,5.28,5.03,5.04,5.04,2389400
10/7/2020,5.096,5.36,5.09,5.32,5.32,2937700
10/8/2020,5.42,5.91,5.38,5.85,5.85,7469600
10/9/2020,6,6.06,5.69,5.74,5.74,7503900
10/12/2020,5.76,6.08,5.76,5.9,5.9,5561700
10/13/2020,5.8,5.9,5.67,5.72,5.72,3008600
10/14/2020,5.75,5.84,5.55,5.62,5.62,2249800
10/15/2020,5.5,5.55,5.365,5.49,5.49,2113800
10/16/2020,5.545,5.545,5.37,5.43,5.43,1816900
10/19/2020,5.47,5.81,5.41,5.75,5.75,3847600
10/20/2020,5.67,5.8,5.575,5.68,5.68,1985900
10/21/2020,5.68,5.99,5.667,5.89,5.89,3641300
10/22/2020,5.93,6.09,5.86,6.07,6.07,3367300
10/23/2020,6.08,6.1,5.79,5.83,5.83,2464500
10/26/2020,5.79,5.8,5.51,5.53,5.53,2056100
10/27/2020,5.57,5.69,5.5,5.58,5.58,1483800
10/28/2020,5.39,5.59,5.33,5.47,5.47,2279200
10/29/2020,5.51,5.61,5.35,5.57,5.57,1589400
10/30/2020,5.53,5.53,5.17,5.29,5.29,3426300
11/2/2020,5.38,6.12,5.33,6.01,6.01,8233700
11/3/2020,6.01,6.13,5.76,6.04,6.04,5678100
11/4/2020,5.79,5.84,5.44,5.54,5.54,7021200
11/5/2020,5.89,6.52,5.68,6.465,6.465,15885500
11/6/2020,7.08,8.44,6.7,7.51,7.51,45759200
11/9/2020,8.61,8.81,7.11,7.23,7.23,19548000
11/10/2020,6.88,7.319,6.66,7.27,7.27,7933400
11/11/2020,6.92,7.34,6.63,7.12,7.12,8083800
11/12/2020,6.89,7.22,6.85,6.91,6.91,4278000
11/13/2020,7.04,7.099,6.81,7.09,7.09,8534300
11/16/2020,7.17,7.33,6.93,7.12,7.12,4546200
11/17/2020,7.02,7.46,6.97,7.36,7.36,5114800
11/18/2020,7.403,7.69,7.25,7.26,7.26,4650200
11/19/2020,7.21,7.35,7.145,7.22,7.22,2791900
11/20/2020,7.23,7.41,7.032,7.22,7.22,3856100
